mandt,bukrs,belnr,gjahr,blart,budat,waers,cpudt,cputm
100,1000,1900000001,2026,KR,2026-01-03,EUR,2026-01-03,080100
100,1000,1900000002,2026,KR,2026-01-04,USD,2026-01-04,080200
100,1000,1900000003,2026,KR,2026-01-05,EUR,2026-01-05,080300
100,1000,1900000004,2026,KR,2026-01-06,USD,2026-01-06,080400
100,1000,1900000005,2026,KR,2026-01-07,EUR,2026-01-07,080500
100,1000,1900000006,2026,KR,2026-01-08,GBP,2026-01-08,080600
100,1000,1900000007,2026,KR,2026-01-09,EUR,2026-01-09,080700
100,1000,1900000008,2026,KR,2026-01-10,USD,2026-01-10,080800
100,1000,1900000009,2026,KR,2026-01-11,EUR,2026-01-11,080900
100,1000,1900000010,2026,KR,2026-01-12,USD,2026-01-12,081000
100,1000,1900000011,2026,KR,2026-01-13,EUR,2026-01-13,081100
100,1000,1900000012,2026,KR,2026-01-14,USD,2026-01-14,081200
100,1000,1900000013,2026,KR,2026-01-15,EUR,2026-01-15,081300
100,1000,1900000014,2026,KR,2026-01-16,USD,2026-01-16,081400
100,1000,1900000015,2026,KR,2026-01-17,EUR,2026-01-17,081500
100,1000,1900000016,2026,KR,2026-01-18,USD,2026-01-18,081600
100,1000,1900000017,2026,KR,2026-01-19,EUR,2026-01-19,081700
100,1000,1900000018,2026,KR,2026-01-20,USD,2026-01-20,081800
100,1000,1900000019,2026,KR,2026-01-21,EUR,2026-01-21,081900
100,1000,1900000020,2026,KR,2026-01-22,USD,2026-01-22,082000
100,1000,1900000021,2026,KR,2026-01-23,EUR,2026-01-23,082100
100,1000,1900000022,2026,KR,2026-01-24,USD,2026-01-24,082200
100,1000,1900000023,2026,KR,2026-01-25,EUR,2026-01-25,082300
100,1000,1900000024,2026,KR,2026-01-26,USD,2026-01-26,082400
100,1000,1900000025,2026,KR,2026-01-27,EUR,2026-01-27,082500
100,1000,1900000026,2026,KR,2026-01-28,USD,2026-01-28,082600
100,1000,1900000027,2026,KR,2026-01-02,EUR,2026-01-02,082700
100,1000,1900000028,2026,KR,2026-01-03,USD,2026-01-03,082800
100,1000,1900000029,2026,KR,2026-01-04,EUR,2026-01-04,082900
100,1000,1900000030,2026,KR,2026-01-05,USD,2026-01-05,083000
100,1000,1900000031,2026,KR,2026-01-06,EUR,2026-01-06,083100
100,1000,1900000032,2026,KR,2026-01-07,USD,2026-01-07,083200
100,1000,1900000033,2026,KR,2026-01-08,EUR,2026-01-08,083300
100,1000,1900000034,2026,KR,2026-01-09,USD,2026-01-09,083400
100,1000,1900000035,2026,KR,2026-01-10,EUR,2026-01-10,083500
100,1000,1900000036,2026,KR,2026-01-11,USD,2026-01-11,083600
100,1000,1900000037,2026,KR,2026-01-12,EUR,2026-01-12,083700
100,1000,1900000038,2026,KR,2026-01-13,USD,2026-01-13,083800
100,1000,1900000039,2026,KR,2026-01-14,EUR,2026-01-14,083900
100,1000,1900000040,2026,KR,2026-01-15,USD,2026-01-15,084000
100,1000,1900000041,2026,KR,2026-01-16,EUR,2026-01-16,084100
100,1000,1900000042,2026,KR,2026-01-17,USD,2026-01-17,084200
100,1000,1900000043,2026,KR,2026-01-18,EUR,2026-01-18,084300
100,1000,1900000044,2026,KR,2026-01-19,USD,2026-01-19,084400
100,1000,1900000045,2026,KR,2026-01-20,EUR,2026-01-20,084500
100,1000,1900000046,2026,KR,2026-01-21,USD,2026-01-21,084600
100,1000,1900000047,2026,KR,2026-01-22,EUR,2026-01-22,084700
100,1000,1900000048,2026,KR,2026-01-23,USD,2026-01-23,084800
100,1000,1900000049,2026,KR,2026-01-24,EUR,2026-01-24,084900
100,1000,1900000050,2026,KR,2026-01-25,USD,2026-01-25,085000
