source_row_id,mandt,bukrs,belnr,gjahr,buzei,hkont,shkzg,dmbtr,wrbtr,kostl,aufnr,sgtxt
FI00000001,100,1000,1900000001,2026,001,500000,S,1037.00,960.19,CC1000,,Synthetic operating expense
FI00000002,100,1000,1900000001,2026,002,200000,H,1037.00,960.19,,,Synthetic vendor payable
FI00000003,100,1000,1900000002,2026,001,500100,S,329.00,329.00,CC2000,,Synthetic operating expense
FI00000004,100,1000,1900000002,2026,002,200000,H,329.00,329.00,,,Synthetic vendor payable
FI00000005,100,1000,1900000003,2026,001,500000,S,2378.00,2201.85,CC1000,,Synthetic operating expense
FI00000006,100,1000,1900000003,2026,002,200000,H,2378.00,2201.85,,,Synthetic vendor payable
FI00000007,100,1000,1900000003,2026,001,500000,S,2378.00,2201.85,CC1000,,Injected duplicate source record
FI00000008,100,1000,1900000004,2026,001,500100,S,2131.00,2131.00,CC2000,,Synthetic operating expense
FI00000009,100,1000,1900000004,2026,002,200000,H,2131.00,2131.00,,,Synthetic vendor payable
FI00000010,100,1000,1900000005,2026,001,500000,S,1953.00,1808.33,CC1000,,Synthetic operating expense
FI00000011,100,1000,1900000005,2026,002,200000,H,1943.00,1799.07,,,Synthetic vendor payable
FI00000012,100,1000,1900000006,2026,001,500100,S,1268.00,1014.40,CC2000,,Synthetic operating expense
FI00000013,100,1000,1900000006,2026,002,200000,H,1268.00,1014.40,,,Synthetic vendor payable
FI00000014,100,1000,1900000007,2026,001,500000,S,964.00,892.59,CC1000,,Synthetic operating expense
FI00000015,100,1000,1900000007,2026,002,200000,H,964.00,892.59,,,Synthetic vendor payable
FI00000016,100,1000,1900000008,2026,001,500100,S,4592.00,4592.00,CC2000,,Synthetic operating expense
FI00000017,100,1000,1900000008,2026,002,200000,H,4592.00,4592.00,,,Synthetic vendor payable
FI00000018,100,1000,1900000009,2026,001,500000,S,837.00,775.00,CC1000,,Synthetic operating expense
FI00000019,100,1000,1900000009,2026,002,200000,H,837.00,775.00,,,Synthetic vendor payable
FI00000020,100,1000,1900000010,2026,001,500100,S,4962.00,4962.00,CC2000,,Synthetic operating expense
FI00000021,100,1000,1900000010,2026,002,200000,H,4962.00,4962.00,,,Synthetic vendor payable
FI00000022,100,1000,1900000011,2026,001,500000,S,3581.00,3315.74,CC1000,,Synthetic operating expense
FI00000023,100,1000,1900000011,2026,002,200000,H,3581.00,3315.74,,,Synthetic vendor payable
FI00000024,100,1000,1900000012,2026,001,500100,S,385.00,385.00,CC2000,,Synthetic operating expense
FI00000025,100,1000,1900000012,2026,002,200000,H,385.00,385.00,,,Synthetic vendor payable
