mandt,kokrs,bukrs,belnr,gjahr,vrgng,budat,waers,refbn,refgj
100,A000,1000,2000000001,2026,RKP1,2026-01-03,USD,1900000001,2026
100,A000,1000,2000000002,2026,RKP1,2026-01-04,USD,1900000002,2026
100,A000,1000,2000000003,2026,RKP1,2026-01-05,USD,1900000003,2026
100,A000,1000,2000000004,2026,RKP1,2026-01-06,USD,1900000004,2026
100,A000,1000,2000000007,2026,RKP1,2026-01-09,USD,1900000007,2026
100,A000,1000,2000000008,2026,RKP1,2026-01-10,USD,1900000008,2026
100,A000,1000,2000000009,2026,RKP1,2026-01-11,USD,1900000009,2026
100,A000,1000,2000000010,2026,RKP1,2026-01-12,USD,1900000010,2026
100,A000,1000,2000000011,2026,RKP1,2026-01-13,USD,1900000011,2026
100,A000,1000,2000000012,2026,RKP1,2026-01-14,USD,1900000012,2026
100,A000,1000,2000000013,2026,RKP1,2026-01-15,USD,1900000013,2026
100,A000,1000,2000000014,2026,RKP1,2026-01-16,USD,1900000014,2026
100,A000,1000,2000000015,2026,RKP1,2026-01-17,USD,1900000015,2026
100,A000,1000,2000000016,2026,RKP1,2026-01-18,USD,1900000016,2026
100,A000,1000,2000000017,2026,RKP1,2026-01-19,USD,1900000017,2026
100,A000,1000,2000000018,2026,RKP1,2026-01-20,USD,1900000018,2026
100,A000,1000,2000000019,2026,RKP1,2026-01-21,USD,1900000019,2026
100,A000,1000,2000000020,2026,RKP1,2026-01-22,USD,1900000020,2026
100,A000,1000,2000000021,2026,RKP1,2026-01-23,USD,1900000021,2026
100,A000,1000,2000000022,2026,RKP1,2026-01-24,USD,1900000022,2026
100,A000,1000,2000000023,2026,RKP1,2026-01-25,USD,1900000023,2026
100,A000,1000,2000000024,2026,RKP1,2026-01-26,USD,1900000024,2026
100,A000,1000,2000000025,2026,RKP1,2026-01-27,USD,1900000025,2026
100,A000,1000,2000000026,2026,RKP1,2026-01-28,USD,1900000026,2026
100,A000,1000,2000000027,2026,RKP1,2026-01-02,USD,1900000027,2026
100,A000,1000,2000000028,2026,RKP1,2026-01-03,USD,1900000028,2026
100,A000,1000,2000000029,2026,RKP1,2026-01-04,USD,1900000029,2026
100,A000,1000,2000000030,2026,RKP1,2026-01-05,USD,1900000030,2026
100,A000,1000,2000000031,2026,RKP1,2026-01-06,USD,1900000031,2026
100,A000,1000,2000000032,2026,RKP1,2026-01-07,USD,1900000032,2026
100,A000,1000,2000000033,2026,RKP1,2026-01-08,USD,1900000033,2026
100,A000,1000,2000000034,2026,RKP1,2026-01-09,USD,1900000034,2026
100,A000,1000,2000000035,2026,RKP1,2026-01-10,USD,1900000035,2026
100,A000,1000,2000000036,2026,RKP1,2026-01-11,USD,1900000036,2026
100,A000,1000,2000000037,2026,RKP1,2026-01-12,USD,1900000037,2026
100,A000,1000,2000000038,2026,RKP1,2026-01-13,USD,1900000038,2026
100,A000,1000,2000000039,2026,RKP1,2026-01-14,USD,1900000039,2026
100,A000,1000,2000000040,2026,RKP1,2026-01-15,USD,1900000040,2026
100,A000,1000,2000000041,2026,RKP1,2026-01-16,USD,1900000041,2026
100,A000,1000,2000000042,2026,RKP1,2026-01-17,USD,1900000042,2026
100,A000,1000,2000000043,2026,RKP1,2026-01-18,USD,1900000043,2026
100,A000,1000,2000000044,2026,RKP1,2026-01-19,USD,1900000044,2026
100,A000,1000,2000000045,2026,RKP1,2026-01-20,USD,1900000045,2026
100,A000,1000,2000000046,2026,RKP1,2026-01-21,USD,1900000046,2026
100,A000,1000,2000000047,2026,RKP1,2026-01-22,USD,1900000047,2026
100,A000,1000,2000000048,2026,RKP1,2026-01-23,USD,1900000048,2026
100,A000,1000,2000000049,2026,RKP1,2026-01-24,USD,1900000049,2026
100,A000,1000,2000000050,2026,RKP1,2026-01-25,USD,1900000050,2026
