source_row_id,mandt,kokrs,belnr,gjahr,buzei,objnr,kstar,wrttp,wkgbtr,wrbtr,parob
CO00000001,100,A000,2000000001,2026,001,KSCC1000,500000,04,1037.00,1037.00,
CO00000002,100,A000,2000000002,2026,001,KSCC2000,500100,04,329.00,329.00,
CO00000003,100,A000,2000000003,2026,001,KSCC1000,500000,04,2378.00,2378.00,
CO00000004,100,A000,2000000004,2026,001,KSCC2000,500100,04,2131.00,2131.00,
CO00000007,100,A000,2000000007,2026,001,KSCC1000,500000,04,989.00,989.00,
CO00000008,100,A000,2000000008,2026,001,KSCC2000,500100,04,4592.00,4592.00,
CO00000009,100,A000,2000000009,2026,001,KSCC1000,500000,04,837.00,837.00,
CO00000010,100,A000,2000000010,2026,001,KSCC2000,500100,04,4962.00,4962.00,
CO00000011,100,A000,2000000011,2026,001,KSCC1000,500000,04,3581.00,3581.00,
CO00000012,100,A000,2000000012,2026,001,KSCC2000,500100,04,385.00,385.00,
CO00000013,100,A000,2000000013,2026,001,KSCC1000,500000,04,369.00,369.00,
CO00000014,100,A000,2000000014,2026,001,KSCC2000,500100,04,892.00,892.00,
CO00000015,100,A000,2000000015,2026,001,KSCC1000,500000,04,1916.00,1916.00,
CO00000016,100,A000,2000000016,2026,001,KSCC2000,500100,04,2030.00,2030.00,
CO00000017,100,A000,2000000017,2026,001,KSCC1000,500000,04,4264.00,4264.00,
CO00000018,100,A000,2000000018,2026,001,KSCC2000,500100,04,342.00,342.00,
CO00000019,100,A000,2000000019,2026,001,KSCC1000,500000,04,4722.00,4722.00,
CO00000020,100,A000,2000000020,2026,001,KSCC2000,500100,04,1753.00,1753.00,
CO00000021,100,A000,2000000021,2026,001,KSCC1000,500000,04,4589.00,4589.00,
CO00000022,100,A000,2000000022,2026,001,KSCC2000,500100,04,3561.00,3561.00,
CO00000023,100,A000,2000000023,2026,001,KSCC1000,500000,04,1930.00,1930.00,
CO00000024,100,A000,2000000024,2026,001,KSCC2000,500100,04,3804.00,3804.00,
CO00000025,100,A000,2000000025,2026,001,KSCC1000,500000,04,4952.00,4952.00,
CO00000026,100,A000,2000000026,2026,001,KSCC2000,500100,04,2403.00,2403.00,
CO00000027,100,A000,2000000027,2026,001,KSCC1000,500000,04,178.00,178.00,
CO00000028,100,A000,2000000028,2026,001,KSCC2000,500100,04,1432.00,1432.00,
CO00000029,100,A000,2000000029,2026,001,KSCC1000,500000,04,3587.00,3587.00,
CO00000030,100,A000,2000000030,2026,001,KSCC2000,500100,04,2912.00,2912.00,
CO00000031,100,A000,2000000031,2026,001,KSCC1000,500000,04,2401.00,2401.00,
CO00000032,100,A000,2000000032,2026,001,KSCC2000,500100,04,1398.00,1398.00,
CO00000033,100,A000,2000000033,2026,001,KSCC1000,500000,04,1888.00,1888.00,
CO00000034,100,A000,2000000034,2026,001,KSCC2000,500100,04,2882.00,2882.00,
CO00000035,100,A000,2000000035,2026,001,KSCC1000,500000,04,962.00,962.00,
CO00000036,100,A000,2000000036,2026,001,KSCC2000,500100,04,884.00,884.00,
CO00000037,100,A000,2000000037,2026,001,KSCC1000,500000,04,3237.00,3237.00,
CO00000038,100,A000,2000000038,2026,001,KSCC2000,500100,04,917.00,917.00,
CO00000039,100,A000,2000000039,2026,001,KSCC1000,500000,04,3065.00,3065.00,
CO00000040,100,A000,2000000040,2026,001,KSCC2000,500100,04,2942.00,2942.00,
CO00000041,100,A000,2000000041,2026,001,KSCC1000,500000,04,2291.00,2291.00,
CO00000042,100,A000,2000000042,2026,001,KSCC2000,500100,04,480.00,480.00,
CO00000043,100,A000,2000000043,2026,001,KSCC1000,500000,04,3888.00,3888.00,
CO00000044,100,A000,2000000044,2026,001,KSCC2000,500100,04,4517.00,4517.00,
CO00000045,100,A000,2000000045,2026,001,KSCC1000,500000,04,1147.00,1147.00,
CO00000046,100,A000,2000000046,2026,001,KSCC2000,500100,04,3225.00,3225.00,
CO00000047,100,A000,2000000047,2026,001,KSCC1000,500000,04,770.00,770.00,
CO00000048,100,A000,2000000048,2026,001,KSCC2000,500100,04,4647.00,4647.00,
CO00000049,100,A000,2000000049,2026,001,KSCC1000,500000,04,2526.00,2526.00,
CO00000050,100,A000,2000000050,2026,001,KSCC2000,500100,04,3087.00,3087.00,
